iter	Passed	Remaining
226	14397	23658
227	14449	23574
228	14502	23495
229	14563	23428
230	14613	23344
231	14665	23262
232	14717	23181
233	14770	23102
234	14820	23019
235	14867	22931
236	14913	22841
237	14960	22754
238	15004	22663
239	15048	22572
240	15092	22482
241	15136	22391
242	15180	22302
243	15223	22211
244	15267	22122
245	15311	22034
246	15356	21946
247	15400	21858
248	15451	21781
249	15504	21705
250	15561	21636
251	15611	21558
252	15661	21480
253	15715	21407
254	15769	21335
255	15821	21259
256	15869	21180
257	15922	21105
258	15971	21028
259	16019	20948
260	16068	20870
261	16115	20789
262	16161	20709
263	16206	20626
264	16252	20545
265	16296	20462
266	16339	20378
267	16383	20296
268	16427	20213
269	16471	20132
270	16516	20051
271	16563	19973
272	16610	19895
273	16653	19814
274	16697	19733
275	16741	19653
276	16787	19574
277	16832	19496
278	16875	19416
279	16919	19336
280	16964	19258
281	17017	19189
282	17070	19121
283	17115	19043
284	17160	18967
285	17209	18894
286	17255	18819
287	17300	18742
288	17347	18668
289	17393	18592
290	17437	18516
291	17479	18437
292	17524	18361
293	17574	18291
294	17631	18228
295	17699	18177
296	17756	18114
297	17816	18056
298	17874	17994
299	17928	17928
300	17987	17867
301	18049	17810
302	18111	17752
303	18162	17684
304	18215	17618
305	18268	17551
306	18315	17480
307	18362	17408
308	18409	17337
309	18454	17264
310	18499	17190
311	18544	17118
312	18590	17046
313	18636	16974
314	18683	16903
315	18730	16833
316	18783	16769
317	18830	16699
318	18873	16625
319	18918	16553
320	18962	16481
321	19011	16413
322	19053	16340
323	19096	16267
324	19140	16195
325	19188	16127
326	19239	16062
327	19291	15997
328	19336	15927
329	19382	15858
330	19429	15790
331	19475	15720
332	19521	15652
333	19566	15582
334	19609	15512
335	19653	15442
336	19697	15372
337	19744	15304
338	19793	15239
339	19839	15171
340	19888	15105
341	19937	15040
342	19986	14975
343	20032	14908
344	20077	14840
345	20128	14776
346	20180	14713
347	20236	14653
348	20287	14590
349	20340	14528
350	20387	14462
351	20433	14396
352	20483	14332
353	20530	14267
354	20575	14200
355	20623	14135
356	20672	14071
357	20727	14011
358	20783	13952
359	20835	13890
360	20891	13830
361	20941	13767
362	20988	13703
363	21037	13639
364	21085	13575
365	21134	13512
366	21183	13448
367	21230	13384
368	21274	13318
369	21320	13252
370	21365	13188
371	21411	13123
372	21460	13060
373	21508	12997
374	21555	12933
375	21603	12869
376	21652	12807
377	21703	12746
378	21753	12684
379	21803	12623
380	21852	12560
381	21898	12497
382	21945	12433
383	21991	12370
384	22037	12306
385	22083	12242
386	22130	12180
387	22174	12116
388	22220	12053
389	22277	11995
390	22333	11937
391	22393	11882
392	22443	11821
393	22503	11765
394	22561	11709
395	22626	11656
396	22685	11599
397	22740	11541
398	22788	11479
399	22836	11418
400	22882	11355
401	22928	11293
402	22976	11231
403	23022	11169
404	23070	11108
405	23116	11045
406	23162	10983
407	23208	10921
408	23257	10860
409	23305	10799
410	23350	10737
411	23394	10675
412	23438	10612
413	23484	10551
414	23528	10488
415	23571	10425
416	23616	10364
417	23663	10303
418	23710	10242
419	23756	10181
420	23802	10120
421	23847	10058
422	23895	9998
423	23940	9937
424	23984	9875
425	24030	9815
426	24074	9753
427	24121	9693
428	24164	9632
429	24209	9571
430	24254	9510
431	24300	9450
432	24345	9389
433	24392	9329
434	24437	9269
435	24481	9208
436	24525	9147
437	24568	9087
438	24617	9028
439	24684	8976
440	24737	8918
441	24790	8861
442	24846	8805
443	24892	8746
444	24945	8689
445	25005	8634
446	25059	8577
447	25111	8520
448	25162	8462
449	25209	8403
450	25253	8343
451	25299	8283
452	25344	8224
453	25389	8164
454	25434	8105
455	25483	8047
456	25529	7988
457	25575	7929
458	25621	7870
459	25675	7814
460	25721	7755
461	25767	7696
462	25839	7645
463	25898	7590
464	25948	7533
465	25994	7474
466	26040	7416
467	26086	7357
468	26130	7298
469	26175	7240
470	26220	7181
471	26267	7123
472	26309	7064
473	26353	7005
474	26398	6946
475	26441	6888
476	26485	6829
477	26530	6771
478	26575	6713
479	26622	6655
480	26674	6599
481	26720	6541
482	26767	6483
483	26812	6426
484	26857	6368
485	26902	6310
486	26950	6253
487	26994	6195
488	27042	6138
489	27093	6082
490	27142	6025
491	27189	5968
492	27237	5911
493	27284	5854
494	27332	5797
495	27379	5740
496	27427	5684
497	27481	5628
498	27528	5571
499	27575	5515
500	27620	5457
501	27667	5401
502	27718	5345
503	27792	5293
504	27854	5240
505	27911	5185
506	27962	5129
507	28011	5073
508	28059	5016
509	28105	4959
510	28150	4902
511	28194	4845
512	28239	4789
513	28287	4732
514	28336	4676
515	28382	4620
516	28428	4563
517	28473	4507
518	28532	4453
519	28595	4399
520	28659	4345
521	28718	4291
522	28771	4236
523	28823	4180
524	28879	4125
525	28936	4070
526	28994	4016
527	29048	3961
528	29110	3907
529	29176	3853
530	29239	3799
531	29303	3745
532	29366	3691
533	29430	3637
534	29498	3583
535	29549	3528
536	29601	3472
537	29649	3416
538	29699	3361
539	29755	3306
540	29805	3250
541	29854	3194
542	29914	3140
543	29979	3086
544	30042	3031
545	30096	2976
546	30144	2920
547	30194	2865
548	30248	2809
549	30296	2754
550	30348	2698
551	30396	2643
552	30445	2587
553	30493	2531
554	30539	2476
555	30587	2420
556	30637	2365
557	30685	2309
558	30735	2254
559	30784	2198
560	30834	2143
561	30888	2088
562	30934	2033
563	30981	1977
564	31029	1922
565	31078	1866
566	31130	1811
567	31179	1756
568	31230	1701
569	31282	1646
570	31327	1591
571	31372	1535
572	31417	1480
573	31462	1425
574	31507	1369
575	31552	1314
576	31597	1259
577	31641	1204
578	31685	1149
579	31731	1094
580	31781	1039
581	31831	984
582	31882	929
583	31929	874
584	31974	819
585	32022	765
586	32066	710
587	32113	655
588	32161	600
589	32212	545
590	32263	491
591	32312	436
592	32359	381
593	32404	327
594	32449	272
595	32497	218
596	32541	163
597	32587	108
598	32638	54
599	32686	0
